Lambda,MIT_IT_Ratio,MIT,IT,Overflow
0.05,1,0.1,0.1,39.323467230443974
0.05,2,0.2,0.1,8.456659619450317
0.05,3,0.30000000000000004,0.1,0.7858546168958742
0.05,4,0.4,0.1,0.21052631578947367
0.05,5,0.5,0.1,0.0
0.05,6,0.6000000000000001,0.1,0.0
0.1,1,0.1,0.1,48.837209302325576
0.1,2,0.2,0.1,18.545837723919917
0.1,3,0.30000000000000004,0.1,4.843918191603875
0.1,4,0.4,0.1,1.4344262295081966
0.1,5,0.5,0.1,0.0
0.1,6,0.6000000000000001,0.1,0.0
0.2,1,0.1,0.1,62.534284147010425
0.2,2,0.2,0.1,33.949313621964095
0.2,3,0.30000000000000004,0.1,14.392630972941852
0.2,4,0.4,0.1,4.1183294663573085
0.2,5,0.5,0.1,0.38167938931297707
0.2,6,0.6000000000000001,0.1,0.055586436909394105
0.3,1,0.1,0.1,71.33462282398453
0.3,2,0.2,0.1,44.371118012422365
0.3,3,0.30000000000000004,0.1,25.268817204301076
0.3,4,0.4,0.1,11.263736263736265
0.3,5,0.5,0.1,0.8293838862559242
0.3,6,0.6000000000000001,0.1,0.42275172943889316
0.4,1,0.1,0.1,76.64911737379994
0.4,2,0.2,0.1,54.3054305430543
0.4,3,0.30000000000000004,0.1,35.101545923006974
0.4,4,0.4,0.1,19.06496660595021
0.4,5,0.5,0.1,3.449337850323375
0.4,6,0.6000000000000001,0.1,1.279317697228145
0.5,1,0.1,0.1,80.76439527281872
0.5,2,0.2,0.1,59.81213505965981
0.5,3,0.30000000000000004,0.1,41.56689224362311
0.5,4,0.4,0.1,28.01383399209486
0.5,5,0.5,0.1,5.585866458820473
0.5,6,0.6000000000000001,0.1,2.6694045174537986
