Lambda,MIT_IT_Ratio,MIT,IT,Overflow
0.05,1,0.1,0.1,35.833333333333336
0.05,2,0.2,0.1,9.63855421686747
0.05,3,0.30000000000000004,0.1,1.293103448275862
0.05,4,0.4,0.1,0.0
0.05,5,0.5,0.1,0.0
0.05,6,0.6000000000000001,0.1,0.0
0.1,1,0.1,0.1,49.94535519125683
0.1,2,0.2,0.1,18.421052631578945
0.1,3,0.30000000000000004,0.1,4.588112617309697
0.1,4,0.4,0.1,0.7510729613733905
0.1,5,0.5,0.1,0.0
0.1,6,0.6000000000000001,0.1,0.0
0.2,1,0.1,0.1,62.56890848952591
0.2,2,0.2,0.1,33.91304347826087
0.2,3,0.30000000000000004,0.1,15.2
0.2,4,0.4,0.1,4.904171364148816
0.2,5,0.5,0.1,0.16611295681063123
0.2,6,0.6000000000000001,0.1,0.055279159756771695
0.3,1,0.1,0.1,71.23179850452578
0.3,2,0.2,0.1,44.66539196940727
0.3,3,0.30000000000000004,0.1,25.38552787663108
0.3,4,0.4,0.1,12.681586179819396
0.3,5,0.5,0.1,1.0677466863033873
0.3,6,0.6000000000000001,0.1,0.38153376573826786
0.4,1,0.1,0.1,76.96063472688435
0.4,2,0.2,0.1,53.27045938545787
0.4,3,0.30000000000000004,0.1,35.98564163924618
0.4,4,0.4,0.1,19.050498941638946
0.4,5,0.5,0.1,3.1507656065959955
0.4,6,0.6000000000000001,0.1,1.2462908011869436
0.5,1,0.1,0.1,80.76439527281872
0.5,2,0.2,0.1,59.59466393022063
0.5,3,0.30000000000000004,0.1,42.0066717988196
0.5,4,0.4,0.1,26.358557643473844
0.5,5,0.5,0.1,6.051512878219555
0.5,6,0.6000000000000001,0.1,2.3761880940470235
