Lambda,MIT_IT_Ratio,Overflow
0.05,0.5,100.0
0.05,1.0,21.649484536082475
0.05,1.5,20.869565217391305
0.05,2.0,1.25
0.05,2.5,2.912621359223301
0.05,3.0,0.0
0.05,3.5,0.0
0.05,4.0,0.0
0.05,4.5,0.0
0.05,5.0,0.0
0.1,0.5,100.0
0.1,1.0,37.86407766990291
0.1,1.5,33.33333333333333
0.1,2.0,21.904761904761905
0.1,2.5,6.598984771573605
0.1,3.0,0.975609756097561
0.1,3.5,3.6363636363636362
0.1,4.0,0.0
0.1,4.5,0.0
0.1,5.0,0.0
0.2,0.5,100.0
0.2,1.0,57.920792079207914
0.2,1.5,59.325842696629216
0.2,2.0,37.66519823788546
0.2,2.5,27.073170731707318
0.2,3.0,12.045454545454545
0.2,3.5,8.674698795180722
0.2,4.0,3.8548752834467117
0.2,4.5,3.9911308203991127
0.2,5.0,0.2398081534772182
0.3,0.5,100.0
0.3,1.0,70.48192771084338
0.3,1.5,66.553480475382
0.3,2.0,50.77639751552795
0.3,2.5,43.72163388804841
0.3,3.0,19.523809523809526
0.3,3.5,21.036106750392463
0.3,4.0,13.364779874213836
0.3,4.5,11.320754716981133
0.3,5.0,2.10016155088853
0.4,0.5,100.0
0.4,1.0,76.8065268065268
0.4,1.5,76.37231503579952
0.4,2.0,59.23172242874845
0.4,2.5,53.609467455621306
0.4,3.0,37.32004429678849
0.4,3.5,31.414267834793492
0.4,4.0,21.039903264812576
0.4,4.5,17.91044776119403
0.4,5.0,8.079625292740047
0.5,0.5,100.0
0.5,1.0,81.13744075829385
0.5,1.5,80.6420233463035
0.5,2.0,66.01842374616172
0.5,2.5,61.627906976744185
0.5,3.0,42.01183431952663
0.5,3.5,46.57039711191336
0.5,4.0,33.70681605975724
0.5,4.5,26.473429951690818
0.5,5.0,13.193116634799235
